City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sao felix do xingu,-6.6447,-51.995,22.67,91,98,0.39,BR,1706669906
83,beira,-19.8436,34.8389,27.05,83,20,3.6,MZ,1706669873
84,papatowai,-46.5619,169.4708,18.85,49,80,4.58,NZ,1706669907
85,squamish,49.7014,-123.1512,14.55,94,100,2.06,CA,1706669907
86,lodja,-3.4833,23.4333,21.41,97,100,1.03,CD,1706669907
87,hobyo,5.3505,48.5268,24.91,77,98,5.85,SO,1706669907
88,mejit,10.2753,170.8646,26.21,82,100,8.37,MH,1706669908
89,howrah,22.5892,88.3103,19.0,94,75,0.0,IN,1706669908
90,tabou,4.423,-7.3528,26.52,85,87,2.8,CI,1706669908
91,cruz del eje,-30.7264,-64.8039,25.38,44,46,4.49,AR,1706669909
92,hono,57.6897,11.6497,3.05,100,78,5.56,SE,1706669909
93,nizhnyaya poyma,56.1622,97.1933,-27.95,95,25,1.76,RU,1706669909
94,acajutla,13.5928,-89.8275,24.95,62,1,3.99,SV,1706669909
95,severo-yeniseyskiy,60.3725,93.0408,-29.12,94,20,1.79,RU,1706669910
96,hasaki,35.7333,140.8333,15.16,52,36,5.14,JP,1706669910
97,nagqu,31.5,92.0,-8.53,46,89,2.39,CN,1706669910
98,karratha,-20.7377,116.8463,31.41,52,53,3.57,AU,1706669910
99,dumka,24.2667,87.25,19.77,40,0,2.19,IN,1706669911
100,touros,-5.1989,-35.4608,27.16,72,13,5.32,BR,1706669877
101,ribeira grande,38.5167,-28.7,14.32,86,34,3.13,PT,1706669753
102,i-n-salah,27.1935,2.4607,14.26,36,0,10.05,DZ,1706669911
103,paradip garh,20.3167,86.6167,23.84,67,19,3.34,IN,1706669912
104,puerto baquerizo moreno,-0.9,-89.6,25.29,87,85,4.87,EC,1706669912
105,crane,31.3974,-102.3501,14.92,38,38,3.37,US,1706669912
106,puerto natales,-51.7236,-72.4875,7.23,91,42,2.14,CL,1706669912
107,constantia,44.1833,28.65,-4.62,78,29,3.12,RO,1706669913
108,sao tome,0.3365,6.7273,27.28,83,88,3.44,ST,1706669913
109,yenotayevka,47.2456,47.0281,-3.6,95,100,4.01,RU,1706669913
110,nyurba,63.2842,118.3319,-24.61,96,100,1.53,RU,1706669913
111,usinsk,65.9939,57.5281,-5.52,94,100,4.92,RU,1706669914
112,aykhal,66.0,111.5,-23.26,100,89,1.42,RU,1706669914
113,vilyuchinsk,52.9306,158.4028,-10.85,61,100,2.38,RU,1706669722
114,karasuk,53.7377,78.0403,-19.06,93,68,3.13,RU,1706669915
115,st. john's,47.5649,-52.7093,-4.62,84,100,7.72,CA,1706669644
116,koz'modem'yansk,56.3367,46.5711,-11.68,97,38,2.45,RU,1706669915
117,kimry,56.8667,37.35,-6.0,100,100,0.89,RU,1706669915
118,kimbe,-5.5502,150.1429,29.96,70,55,3.1,PG,1706669916
119,kailua-kona,19.6406,-155.9956,26.98,84,40,4.12,US,1706669916
120,albany,42.6001,-73.9662,-0.2,84,100,2.26,US,1706669916
121,muisne,0.6,-80.0333,25.53,91,100,2.19,EC,1706669917
122,dese,11.1333,39.6333,12.33,90,86,1.31,ET,1706669917
123,veranopolis,-28.9361,-51.5494,17.31,96,15,0.69,BR,1706669917
124,san patricio,28.017,-97.5169,15.47,64,100,2.71,US,1706669917
125,pisco,-13.7,-76.2167,24.03,78,100,7.2,PE,1706669629
126,weno,7.4515,151.8468,29.97,66,100,5.14,FM,1706669918
127,bardai,11.65,7.2333,18.48,18,47,5.92,NG,1706669918
128,naze,28.3667,129.4833,19.51,81,98,7.44,JP,1706669918
129,yellowknife,62.456,-114.3525,-11.71,92,100,3.6,CA,1706669918
130,trairi,-3.2778,-39.2689,26.81,82,8,3.87,BR,1706669650
131,okhotsk,59.3833,143.3,-19.31,79,46,5.92,RU,1706669919
132,bamboo flat,11.7,92.7167,27.05,83,75,1.54,IN,1706669919
133,korsakov,46.6328,142.7813,-8.09,80,98,1.09,RU,1706669919
134,corinto,37.9407,22.9573,5.18,85,95,11.67,GR,1706669920
135,lihue,21.9789,-159.3672,23.77,80,75,2.57,US,1706669736
136,petropavlovsk-kamchatsky,53.0452,158.6483,-11.67,70,40,4.0,RU,1706669702
137,ancud,-41.8697,-73.8203,14.18,95,100,2.01,CL,1706669920
138,kulhudhuffushi,6.6221,73.07,27.68,74,84,3.45,MV,1706669775
139,kapa'a,22.0752,-159.319,24.18,75,75,2.57,US,1706669922
140,scarborough,54.2797,-0.4044,3.77,86,69,5.36,GB,1706669922
141,tofol,5.3248,163.0078,29.88,74,75,6.17,FM,1706669922
